label,variant,auc,ci_lower,ci_upper,n_pos,n_neg
label_0,classifier_true_12,0.48840591633856456,0.0,0.0,869,1063
label_0,baseline_12,0.48997236256247656,0.0,0.0,869,1063
label_0,hybrid_12,0.49009144278682365,0.0,0.0,869,1063
label_0,physics_12,0.48997236256247656,0.0,0.0,869,1063
label_1,classifier_true_12,0.49291733154167017,0.0,0.0,231,1701
label_1,baseline_12,0.4977286088397199,0.0,0.0,231,1701
label_1,hybrid_12,0.49823251410553,0.0,0.0,231,1701
label_1,physics_12,0.4977286088397199,0.0,0.0,231,1701
label_2,classifier_true_12,0.5077561111192381,0.0,0.0,197,1735
label_2,baseline_12,0.5097719393203528,0.0,0.0,197,1735
label_2,hybrid_12,0.5105457949940754,0.0,0.0,197,1735
label_2,physics_12,0.5097719393203528,0.0,0.0,197,1735
label_3,classifier_true_12,0.4425095383295282,0.0,0.0,187,1745
label_3,baseline_12,0.44628196681121,0.0,0.0,187,1745
label_3,hybrid_12,0.4457655945941804,0.0,0.0,187,1745
label_3,physics_12,0.44628196681121,0.0,0.0,187,1745
label_4,classifier_true_12,0.5266739903745553,0.0,0.0,162,1770
label_4,baseline_12,0.523062704889447,0.0,0.0,162,1770
label_4,hybrid_12,0.521978098625933,0.0,0.0,162,1770
label_4,physics_12,0.523062704889447,0.0,0.0,162,1770
label_5,classifier_true_12,0.5412443937367221,0.0,0.0,142,1790
label_5,baseline_12,0.5280116452907389,0.0,0.0,142,1790
label_5,hybrid_12,0.5294004248957431,0.0,0.0,142,1790
label_5,physics_12,0.5280116452907389,0.0,0.0,142,1790
label_6,classifier_true_12,0.42472703345849966,0.0,0.0,111,1821
label_6,baseline_12,0.4207741514166556,0.0,0.0,111,1821
label_6,hybrid_12,0.4231364807971068,0.0,0.0,111,1821
label_6,physics_12,0.4207741514166556,0.0,0.0,111,1821
label_7,classifier_true_12,0.47217132754741237,0.0,0.0,102,1830
label_7,baseline_12,0.4642531876138434,0.0,0.0,102,1830
label_7,hybrid_12,0.4649603557269903,0.0,0.0,102,1830
label_7,physics_12,0.4642531876138434,0.0,0.0,102,1830
label_8,classifier_true_12,0.4817543428815333,0.0,0.0,93,1839
label_8,baseline_12,0.47415612739508967,0.0,0.0,93,1839
label_8,hybrid_12,0.4718260859396469,0.0,0.0,93,1839
label_8,physics_12,0.47415612739508967,0.0,0.0,93,1839
label_9,classifier_true_12,0.5409459849202753,0.0,0.0,65,1867
label_9,baseline_12,0.5268633348440526,0.0,0.0,65,1867
label_9,hybrid_12,0.5236784640105475,0.0,0.0,65,1867
label_9,physics_12,0.5268633348440526,0.0,0.0,65,1867
label_10,classifier_true_12,0.4503501260453764,0.0,0.0,67,1865
label_10,baseline_12,0.46681605377936053,0.0,0.0,67,1865
label_10,hybrid_12,0.4687327437877636,0.0,0.0,67,1865
label_10,physics_12,0.46681605377936053,0.0,0.0,67,1865
label_11,classifier_true_12,0.5616893495423063,0.0,0.0,55,1877
label_11,baseline_12,0.5777158909284642,0.0,0.0,55,1877
label_11,hybrid_12,0.5758560565699617,0.0,0.0,55,1877
label_11,physics_12,0.5777158909284642,0.0,0.0,55,1877
label_12,classifier_true_12,0.4798194370685077,0.0,0.0,49,1883
label_12,baseline_12,0.45354243662414506,0.0,0.0,49,1883
label_12,hybrid_12,0.4447852428278799,0.0,0.0,49,1883
label_12,physics_12,0.45354243662414506,0.0,0.0,49,1883
label_13,classifier_true_12,0.5322175778485492,0.0,0.0,48,1884
label_13,baseline_12,0.5110138004246284,0.0,0.0,48,1884
label_13,hybrid_12,0.5137617215145082,0.0,0.0,48,1884
label_13,physics_12,0.5110138004246284,0.0,0.0,48,1884
label_14,classifier_true_12,0.5070664484593624,0.0,0.0,49,1883
label_14,baseline_12,0.4996585994992792,0.0,0.0,49,1883
label_14,hybrid_12,0.5011650969469041,0.0,0.0,49,1883
label_14,physics_12,0.4996585994992792,0.0,0.0,49,1883
label_15,classifier_true_12,0.5395691609977324,0.0,0.0,42,1890
label_15,baseline_12,0.523116654069035,0.0,0.0,42,1890
label_15,hybrid_12,0.5251385739480978,0.0,0.0,42,1890
label_15,physics_12,0.523116654069035,0.0,0.0,42,1890
label_16,classifier_true_12,0.5608014858572701,0.0,0.0,41,1891
label_16,baseline_12,0.541564019553469,0.0,0.0,41,1891
label_16,hybrid_12,0.5447046987656551,0.0,0.0,41,1891
label_16,physics_12,0.541564019553469,0.0,0.0,41,1891
label_17,classifier_true_12,0.4964686295127935,0.0,0.0,30,1902
label_17,baseline_12,0.4997108307045215,0.0,0.0,30,1902
label_17,hybrid_12,0.5008850332982825,0.0,0.0,30,1902
label_17,physics_12,0.4997108307045215,0.0,0.0,30,1902
label_18,classifier_true_12,0.5421185107498688,0.0,0.0,25,1907
label_18,baseline_12,0.5191609858416361,0.0,0.0,25,1907
label_18,hybrid_12,0.5167802831672784,0.0,0.0,25,1907
label_18,physics_12,0.5191609858416361,0.0,0.0,25,1907
label_19,classifier_true_12,0.5170529627687467,0.0,0.0,25,1907
label_19,baseline_12,0.5094074462506555,0.0,0.0,25,1907
label_19,hybrid_12,0.5122286313581541,0.0,0.0,25,1907
label_19,physics_12,0.5094074462506555,0.0,0.0,25,1907
label_20,classifier_true_12,0.5878620824634655,0.0,0.0,16,1916
label_20,baseline_12,0.5675561064718163,0.0,0.0,16,1916
label_20,hybrid_12,0.5654194937369519,0.0,0.0,16,1916
label_20,physics_12,0.5675561064718163,0.0,0.0,16,1916
label_21,classifier_true_12,0.6330233581863702,0.0,0.0,19,1913
label_21,baseline_12,0.6254573967590173,0.0,0.0,19,1913
label_21,hybrid_12,0.6251272457149146,0.0,0.0,19,1913
label_21,physics_12,0.6254573967590173,0.0,0.0,19,1913
label_22,classifier_true_12,0.5210725469728601,0.0,0.0,16,1916
label_22,baseline_12,0.5362245563674322,0.0,0.0,16,1916
label_22,hybrid_12,0.5342347338204593,0.0,0.0,16,1916
label_22,physics_12,0.5362245563674322,0.0,0.0,16,1916
label_23,classifier_true_12,0.4661797948182925,0.0,0.0,15,1917
label_23,baseline_12,0.43771517996870113,0.0,0.0,15,1917
label_23,hybrid_12,0.4357155277343071,0.0,0.0,15,1917
label_23,physics_12,0.43771517996870113,0.0,0.0,15,1917
label_24,classifier_true_12,0.4931807710029182,0.0,0.0,17,1915
label_24,baseline_12,0.4893411150360928,0.0,0.0,17,1915
label_24,hybrid_12,0.489049301182614,0.0,0.0,17,1915
label_24,physics_12,0.4893411150360928,0.0,0.0,17,1915
label_25,classifier_true_12,0.5810628167716172,0.0,0.0,17,1915
label_25,baseline_12,0.6363385040700353,0.0,0.0,17,1915
label_25,hybrid_12,0.6374904008600829,0.0,0.0,17,1915
label_25,physics_12,0.6363385040700353,0.0,0.0,17,1915
label_26,classifier_true_12,0.4419369062412314,0.0,0.0,13,1919
label_26,baseline_12,0.4356636068465146,0.0,0.0,13,1919
label_26,hybrid_12,0.43484186475327696,0.0,0.0,13,1919
label_26,physics_12,0.4356636068465146,0.0,0.0,13,1919
label_27,classifier_true_12,0.506684790704603,0.0,0.0,14,1918
label_27,baseline_12,0.49437658274988827,0.0,0.0,14,1918
label_27,hybrid_12,0.49931103828392664,0.0,0.0,14,1918
label_27,physics_12,0.49437658274988827,0.0,0.0,14,1918
label_28,classifier_true_12,0.6536680541103017,0.0,0.0,10,1922
label_28,baseline_12,0.6253902185223725,0.0,0.0,10,1922
label_28,hybrid_12,0.6314255983350676,0.0,0.0,10,1922
label_28,physics_12,0.6253902185223725,0.0,0.0,10,1922
label_29,classifier_true_12,0.5120675784392599,0.0,0.0,11,1921
label_29,baseline_12,0.4296767781931759,0.0,0.0,11,1921
label_29,hybrid_12,0.44049027495149307,0.0,0.0,11,1921
label_29,physics_12,0.4296767781931759,0.0,0.0,11,1921
