label,variant,auc,ci_lower,ci_upper,n_pos,n_neg
label_0,classifier_true_12_2hr,0.4807820756116123,0.0,0.0,869,1063
label_0,baseline_12_2hr,0.503951298353337,0.0,0.0,869,1063
label_0,hybrid_12_2hr,0.5018203036112702,0.0,0.0,869,1063
label_0,physics_12_2hr,0.503951298353337,0.0,0.0,869,1063
label_1,classifier_true_12_2hr,0.4512242607480703,0.0,0.0,231,1701
label_1,baseline_12_2hr,0.4956010088285221,0.0,0.0,231,1701
label_1,hybrid_12_2hr,0.5085574821024557,0.0,0.0,231,1701
label_1,physics_12_2hr,0.4956010088285221,0.0,0.0,231,1701
label_2,classifier_true_12_2hr,0.4769818165859652,0.0,0.0,197,1735
label_2,baseline_12_2hr,0.483642241694583,0.0,0.0,197,1735
label_2,hybrid_12_2hr,0.4924647815210872,0.0,0.0,197,1735
label_2,physics_12_2hr,0.483642241694583,0.0,0.0,197,1735
label_3,classifier_true_12_2hr,0.4754087308275746,0.0,0.0,187,1745
label_3,baseline_12_2hr,0.489007554050534,0.0,0.0,187,1745
label_3,hybrid_12_2hr,0.4787689808926957,0.0,0.0,187,1745
label_3,physics_12_2hr,0.489007554050534,0.0,0.0,187,1745
label_4,classifier_true_12_2hr,0.5315983120597056,0.0,0.0,162,1770
label_4,baseline_12_2hr,0.5390998814256818,0.0,0.0,162,1770
label_4,hybrid_12_2hr,0.5448524795982423,0.0,0.0,162,1770
label_4,physics_12_2hr,0.5390998814256818,0.0,0.0,162,1770
label_5,classifier_true_12_2hr,0.49908332677630024,0.0,0.0,142,1790
label_5,baseline_12_2hr,0.47409119521598864,0.0,0.0,142,1790
label_5,hybrid_12_2hr,0.4845699897710284,0.0,0.0,142,1790
label_5,physics_12_2hr,0.47409119521598864,0.0,0.0,142,1790
label_6,classifier_true_12_2hr,0.44844432570956455,0.0,0.0,111,1821
label_6,baseline_12_2hr,0.47453384191440207,0.0,0.0,111,1821
label_6,hybrid_12_2hr,0.46845115296515616,0.0,0.0,111,1821
label_6,physics_12_2hr,0.47453384191440207,0.0,0.0,111,1821
label_7,classifier_true_12_2hr,0.5294064073716919,0.0,0.0,102,1830
label_7,baseline_12_2hr,0.49924193721204335,0.0,0.0,102,1830
label_7,hybrid_12_2hr,0.502643844423015,0.0,0.0,102,1830
label_7,physics_12_2hr,0.49924193721204335,0.0,0.0,102,1830
label_8,classifier_true_12_2hr,0.4904459529781847,0.0,0.0,93,1839
label_8,baseline_12_2hr,0.5328047618212329,0.0,0.0,93,1839
label_8,hybrid_12_2hr,0.5221543966742093,0.0,0.0,93,1839
label_8,physics_12_2hr,0.5328047618212329,0.0,0.0,93,1839
